biz_name,Latitude,Longitude,email
Migel's Basic Magenta Meatshop,52.505063,13.434356,mbmm@mail.de
Latrine's Pathetic Orange Kiosk,52.509888,13.452527,lpok@outlook.com
Guntur's Intolerable Deli,52.576993,13.464061,gid@mail.de
Cyrus's Disgusting Magenta Bar,52.508658,13.389768,cdmb@yahoo.biz
Ramesh's Delicious Blue Brewery,52.559047,13.479494,rdbb@outlook.com
Migel's Pathetic Spaeti,52.44364,13.448447,mps@gmx.de
Maya's Intolerable Alehouse,52.43504,13.363341,mia@outlook.com
Leonor's Delicious Shithouse,52.490946,13.454041,lds@gmail.com
Latrine's Humbug Brewery,52.427512,13.374709,lhb@mail.de
Gilad's Humbug Green Brewery,52.543915,13.487982,ghgb@outlook.com
Leandra's Unforgivable Kiosk,52.440774,13.456539,luk@gmail.com
Horatio's Addictive Spaeti,52.526479,13.375067,has@mail.de
Michel's Toxic Green Meatshop,52.530955,13.419708,mtgm@gmx.de
Horatio's Slutty Alehouse,52.563301,13.347666,hsa@outlook.com
Maya's Pathetic Bar,52.603183,13.305668,mpb@outlook.com
Latrine's Cantankerous Alehouse,52.481517,13.310444,lca@mail.de
Ksenia's Cantankerous Kiosk,52.48018,13.416888,kck@gmx.de
Guntur's Unforgivable Bar,52.442152,13.449313,gub@outlook.com
Migel's Stinky Kiosk,52.575776,13.359882,msk@gmx.de
Migel's Sweaty Red Shithouse,52.581494,13.444622,msrs@outlook.com
Leonor's Addictive Whorehouse,52.51359,13.30823,law@yahoo.biz
Kat's Addictive Spaeti,52.618149,13.373974,kas@gmx.de
Maqbool's Abusive Blue Alehouse,52.491649,13.433881,maba@mail.de
Maya's Crappy Magenta Meatshop,52.463185,13.38835,mcmm@outlook.com
Alex's Crappy Deli,52.607396,13.357339,acd@yahoo.biz
Cyrus's Impressive Orange Bar,52.483646,13.434595,ciob@gmx.de
Vlad's Abhorrent Green Meatshop,52.54544,13.406519,vagm@gmail.com
Gilad's Cantankerous Alehouse,52.473274,13.417988,gca@gmail.com
Noor's Nasty Blue Whorehouse,52.476983,13.404856,nnbw@gmx.de
Michel's Cantankerous Alehouse,52.539649,13.496771,mca@gmx.de
Maya's Unbelievable Magenta Deli,52.583486,13.4079,mumd@gmail.com
Zainab's Addictive Red Kiosk,52.551777,13.346483,zark@gmail.com
Hector's Sweaty Shithouse,52.531483,13.457998,hss@gmail.com
Hector's Delicious Whorehouse,52.51397,13.377154,hdw@yahoo.biz
Ksenia's Pathetic Bar,52.49708,13.368742,kpb@gmx.de
Alex's Intolerable Bar,52.504642,13.333342,aib@outlook.com
Sasha's Abhorrent Green Brewery,52.424038,13.369953,sagb@outlook.com
Latrine's Abusive Yellow Kiosk,52.524333,13.364214,layk@gmail.com
Ramesh's Disgusting Purple Bar,52.454028,13.390881,rdpb@mail.de
Horatio's Abhorrent Deli,52.544846,13.376372,had@gmail.com
Baba's Cowardly Kebabshop,52.448563,13.391801,bck@mail.de
Vlad's Disgusting Blue Brewery,52.492576,13.498503,vdbb@gmail.com
Baba's Nasty Whorehouse,52.496011,13.461824,bnw@mail.de
Alina's Ridiculous Bar,52.552645,13.318339,arb@outlook.com
Latrine's Ridiculous Green Shithouse,52.605989,13.443256,lrgs@yahoo.biz
Alex's Cantankerous Red Kiosk,52.46598,13.385038,acrk@gmx.de
Rabi's Unforgivable Magenta Shithouse,52.50015,13.453346,rums@gmail.com
Noor's Stinky Kebabshop,52.431138,13.319963,nsk@gmx.de
Sasha's British Purple Deli,52.443975,13.407188,sbpd@gmx.de
Alex's Humbug Alehouse,52.482401,13.410491,aha@mail.de
Horatio's Intolerable Whorehouse,52.52312,13.484313,hiw@gmail.com
Alina's Sweaty Orange Alehouse,52.565296,13.439659,asoa@yahoo.biz
Zainab's Stinky Whorehouse,52.481256,13.346804,zsw@gmx.de
Latrine's Addictive Red Alehouse,52.508009,13.4369,lara@mail.de
Ksenia's British Deli,52.453684,13.390646,kbd@gmx.de
Latrine's Nasty Shithouse,52.451716,13.495938,lns@yahoo.biz
Ksenia's Ridiculous Brewery,52.478064,13.482351,krb@outlook.com
Latrine's Abusive Whorehouse,52.586606,13.379341,law@yahoo.biz
Maqbool's Pathetic Blue Spaeti,52.477586,13.445881,mpbs@outlook.com
Sasha's Basic Shithouse,52.578977,13.40986,sbs@gmx.de
Zainab's Pathetic Green Alehouse,52.448812,13.329146,zpga@yahoo.biz
Rabi's Pathetic Purple Meatshop,52.526382,13.371072,rppm@mail.de
Latrine's Addictive Yellow Spaeti,52.44352,13.472741,lays@gmx.de
Alina's Impressive Blue Kebabshop,52.571932,13.355767,aibk@outlook.com
Ramesh's Unforgivable Kiosk,52.588626,13.502353,ruk@gmail.com
Vlad's Delicious Bar,52.534187,13.498062,vdb@gmail.com
Zainab's Toxic Red Meatshop,52.585368,13.310567,ztrm@gmail.com
Maya's Crappy Spaeti,52.482581,13.428454,mcs@gmx.de
Maqbool's Unforgivable Meatshop,52.466742,13.351632,mum@mail.de
Zainab's Unbelievable Bar,52.589246,13.460411,zub@mail.de
Guntur's Ridiculous Orange Brewery,52.591344,13.503886,grob@outlook.com
Cyrus's Abhorrent Red Meatshop,52.487999,13.318723,carm@mail.de
Michel's Disgusting Green Spaeti,52.459027,13.364661,mdgs@yahoo.biz
Sasha's Addictive Blue Brewery,52.589955,13.390819,sabb@gmail.com
Rabi's Disgusting Whorehouse,52.508522,13.49837,rdw@mail.de
Horatio's Stinky Shithouse,52.553939,13.450668,hss@yahoo.biz
Michel's Hilarious Green Whorehouse,52.51519,13.356588,mhgw@outlook.com
Alex's Stinky Magenta Kiosk,52.480591,13.49214,asmk@gmx.de
Ksenia's British Purple Kiosk,52.497684,13.450014,kbpk@gmx.de
Baba's Impressive Orange Bar,52.504103,13.443306,biob@mail.de
Baba's Crappy Meatshop,52.495775,13.345097,bcm@gmx.de
Leandra's Unbelievable Purple Shithouse,52.600466,13.364692,lups@gmx.de
Maya's Toxic Alehouse,52.585933,13.411037,mta@outlook.com
Hector's Abhorrent Blue Deli,52.522006,13.386002,habd@outlook.com
Michel's Abusive Alehouse,52.58523,13.411461,maa@gmail.com
Ksenia's Crappy Alehouse,52.584115,13.344533,kca@gmx.de
Noor's Shitty Alehouse,52.567783,13.473263,nsa@gmail.com
Gilad's Addictive Bar,52.479185,13.483418,gab@yahoo.biz
Rabi's Intolerable Orange Deli,52.476341,13.476434,riod@gmail.com
Noor's Intolerable Green Kiosk,52.555887,13.315388,nigk@gmx.de
Guntur's Cantankerous Yellow Alehouse,52.43478,13.361807,gcya@gmx.de
Ramesh's Hilarious Kebabshop,52.611569,13.318023,rhk@gmx.de
Ramesh's Ridiculous Green Spaeti,52.568668,13.464393,rrgs@gmx.de
Kat's Toxic Alehouse,52.57933,13.39267,kta@gmx.de
Horatio's Rotten Orange Bar,52.521091,13.315284,hrob@gmx.de
Latrine's Impressive Kiosk,52.463671,13.361769,lik@outlook.com
Horatio's Intolerable Magenta Alehouse,52.604963,13.467916,hima@mail.de
Leandra's Intolerable Deli,52.52497,13.408906,lid@yahoo.biz
Hector's Rotten Kebabshop,52.4235,13.502983,hrk@gmail.com
Guntur's Cantankerous Yellow Kiosk,52.440046,13.434253,gcyk@outlook.com
Rabi's Basic Purple Kebabshop,52.424652,13.31949,rbpk@mail.de
Hector's Ridiculous Blue Shithouse,52.604092,13.374707,hrbs@outlook.com
Guntur's Disgusting Shithouse,52.44555,13.41403,gds@gmail.com
Kat's Delicious Whorehouse,52.545958,13.408084,kdw@outlook.com
Hector's Sweaty Brewery,52.430433,13.415048,hsb@gmx.de
Michel's Intolerable Red Kiosk,52.564739,13.424761,mirk@outlook.com
Rabi's Rotten Purple Kebabshop,52.494733,13.504457,rrpk@yahoo.biz
Migel's British Green Shithouse,52.537687,13.436311,mbgs@gmx.de
Horatio's Shitty Magenta Kiosk,52.557318,13.317752,hsmk@gmail.com
Maqbool's Nasty Shithouse,52.547046,13.375802,mns@outlook.com
Noor's Cantankerous Meatshop,52.547503,13.364326,ncm@gmail.com
Horatio's Cantankerous Magenta Whorehouse,52.601536,13.310791,hcmw@yahoo.biz
Rabi's Shitty Kiosk,52.525839,13.327495,rsk@yahoo.biz
Maya's Pathetic Blue Shithouse,52.549566,13.360524,mpbs@gmail.com
Cyrus's Abhorrent Alehouse,52.568836,13.41952,caa@gmail.com
Ramesh's Delicious Blue Deli,52.60057,13.337645,rdbd@gmx.de
Rabi's Ridiculous Whorehouse,52.495218,13.45199,rrw@yahoo.biz
Ksenia's Delicious Magenta Kebabshop,52.523825,13.424897,kdmk@mail.de
Vlad's Disgusting Yellow Alehouse,52.489245,13.483339,vdya@gmx.de
Vlad's Abhorrent Yellow Spaeti,52.555238,13.319493,vays@gmx.de
Cyrus's Stinky Purple Bar,52.480896,13.467465,cspb@gmail.com
Qurtaysh's Crappy Magenta Kiosk,52.601317,13.391581,qcmk@yahoo.biz
Noor's Toxic Green Spaeti,52.557186,13.366252,ntgs@gmail.com
Vlad's Nasty Orange Shithouse,52.525173,13.428309,vnos@mail.de
Cyrus's Basic Kiosk,52.566999,13.43633,cbk@yahoo.biz
Noor's Hilarious Yellow Meatshop,52.55937,13.354748,nhym@gmx.de
Horatio's Toxic Orange Kiosk,52.619793,13.409702,htok@gmx.de
Sasha's Rotten Blue Bar,52.447638,13.444771,srbb@gmail.com
Michel's Slutty Whorehouse,52.510142,13.473373,msw@yahoo.biz
Michel's Basic Green Whorehouse,52.502457,13.419254,mbgw@gmx.de
Noor's Humbug Red Kebabshop,52.518826,13.419021,nhrk@gmx.de
Hector's Unforgivable Brewery,52.502975,13.462968,hub@gmail.com
Guntur's Abhorrent Green Deli,52.438231,13.349412,gagd@outlook.com
Gilad's Cantankerous Blue Brewery,52.607332,13.46925,gcbb@mail.de
Sasha's British Red Deli,52.591228,13.46153,sbrd@gmx.de
Maqbool's Stinky Whorehouse,52.470177,13.374224,msw@outlook.com
Michel's British Deli,52.524393,13.369408,mbd@yahoo.biz
Baba's Impressive Magenta Alehouse,52.499934,13.34906,bima@yahoo.biz
Ramesh's Intolerable Blue Brewery,52.581637,13.494683,ribb@mail.de
Qurtaysh's Stinky Magenta Bar,52.462982,13.340611,qsmb@yahoo.biz
Maya's Abusive Yellow Bar,52.439612,13.448724,mayb@mail.de
Horatio's Unbelievable Red Brewery,52.592024,13.441845,hurb@outlook.com
Ramesh's Cowardly Whorehouse,52.576044,13.313345,rcw@gmx.de
Noor's Hilarious Shithouse,52.611531,13.359435,nhs@mail.de
Qurtaysh's Impressive Bar,52.546243,13.36881,qib@yahoo.biz
Kat's Stinky Whorehouse,52.4332,13.424744,ksw@outlook.com
Alina's Basic Green Brewery,52.42834,13.406434,abgb@yahoo.biz
Sasha's Cantankerous Shithouse,52.435818,13.43821,scs@gmx.de
Guntur's Unforgivable Deli,52.420703,13.479969,gud@gmail.com
Ksenia's Hilarious Shithouse,52.577066,13.477231,khs@gmx.de
Leandra's Ridiculous Green Meatshop,52.420636,13.355263,lrgm@mail.de
Baba's Cowardly Deli,52.468333,13.35392,bcd@gmx.de
Gilad's Humbug Green Shithouse,52.444594,13.433832,ghgs@outlook.com
Migel's Abusive Spaeti,52.510149,13.404726,mas@yahoo.biz
Alina's Impressive Whorehouse,52.464313,13.321408,aiw@gmail.com
Michel's Slutty Blue Bar,52.460103,13.452383,msbb@gmx.de
Qurtaysh's Disgusting Bar,52.555921,13.394017,qdb@gmx.de
Zainab's British Spaeti,52.429745,13.317048,zbs@outlook.com
Horatio's Sweaty Red Kiosk,52.531261,13.495827,hsrk@gmail.com
Ramesh's Basic Yellow Brewery,52.536651,13.478858,rbyb@gmail.com
Mihailo's Disgusting Whorehouse,52.44286,13.422656,mdw@gmail.com
Leonor's Intolerable Kiosk,52.50739,13.37838,lik@outlook.com
Baba's Slutty Alehouse,52.473126,13.462381,bsa@gmx.de
Mihailo's Addictive Green Deli,52.452398,13.427638,magd@yahoo.biz
Baba's Unbelievable Orange Alehouse,52.543731,13.343774,buoa@outlook.com
Hector's Abhorrent Blue Meatshop,52.60625,13.364995,habm@mail.de
Guntur's Unforgivable Orange Whorehouse,52.570499,13.430693,guow@gmx.de
Maqbool's Cowardly Red Spaeti,52.572578,13.343295,mcrs@outlook.com
Ksenia's Sweaty Bar,52.571538,13.432519,ksb@gmx.de
Michel's Rotten Yellow Meatshop,52.498226,13.44282,mrym@gmx.de
Guntur's Disgusting Red Alehouse,52.520402,13.398073,gdra@gmx.de
Alex's Shitty Magenta Deli,52.591872,13.359018,asmd@yahoo.biz
Maya's Crappy Blue Kiosk,52.499026,13.455507,mcbk@yahoo.biz
Kat's Basic Green Kebabshop,52.58816,13.46863,kbgk@gmail.com
Mihailo's Addictive Kiosk,52.539085,13.44893,mak@yahoo.biz
Guntur's Slutty Blue Shithouse,52.610473,13.324538,gsbs@yahoo.biz
Alex's Toxic Blue Meatshop,52.577521,13.426576,atbm@mail.de
Latrine's Impressive Magenta Spaeti,52.44646,13.31882,lims@gmail.com
Horatio's Pathetic Spaeti,52.476726,13.413492,hps@gmx.de
Noor's Crappy Yellow Kiosk,52.566014,13.503473,ncyk@gmx.de
Gilad's Slutty Bar,52.573977,13.30684,gsb@gmail.com
Zainab's Abhorrent Spaeti,52.581683,13.408419,zas@yahoo.biz
Maqbool's Cowardly Alehouse,52.610238,13.389166,mca@yahoo.biz
Gilad's Ridiculous Blue Kiosk,52.463481,13.331858,grbk@yahoo.biz
Cyrus's British Alehouse,52.53344,13.327011,cba@gmail.com
Zainab's Toxic Brewery,52.584863,13.32905,ztb@yahoo.biz
Ramesh's Stinky Deli,52.474031,13.406267,rsd@outlook.com
Hector's Sweaty Bar,52.461718,13.354041,hsb@gmail.com
Ksenia's Basic Red Kebabshop,52.439802,13.460654,kbrk@gmail.com
Alina's Cantankerous Whorehouse,52.520704,13.495895,acw@mail.de
Leonor's Nasty Green Shithouse,52.444019,13.427279,lngs@outlook.com
Ramesh's Cantankerous Bar,52.422702,13.429982,rcb@yahoo.biz
Maya's Disgusting Red Whorehouse,52.560596,13.477963,mdrw@mail.de
Latrine's Slutty Meatshop,52.492689,13.410084,lsm@gmx.de
Rabi's Rotten Purple Shithouse,52.427693,13.403339,rrps@outlook.com
Latrine's Ridiculous Meatshop,52.540541,13.40983,lrm@yahoo.biz
Rabi's Toxic Kiosk,52.499438,13.314221,rtk@outlook.com
Baba's Sweaty Brewery,52.608072,13.417668,bsb@outlook.com
Migel's Cantankerous Magenta Deli,52.48909,13.321747,mcmd@yahoo.biz
Maqbool's Abhorrent Deli,52.61963,13.478463,mad@yahoo.biz
Ramesh's Impressive Yellow Kebabshop,52.444843,13.482443,riyk@gmx.de
Alex's Unbelievable Blue Deli,52.554007,13.450439,aubd@gmail.com
Gilad's Disgusting Spaeti,52.513977,13.472234,gds@gmail.com
Alina's Cantankerous Blue Meatshop,52.542015,13.488316,acbm@mail.de
Alina's Abhorrent Bar,52.520288,13.45067,aab@gmail.com
Noor's Unbelievable Kiosk,52.562013,13.492041,nuk@gmx.de
Horatio's Unbelievable Bar,52.450618,13.319252,hub@gmx.de
Michel's Intolerable Orange Kiosk,52.550795,13.439185,miok@gmail.com
Alex's Stinky Blue Alehouse,52.468324,13.361103,asba@gmail.com
Qurtaysh's Ridiculous Bar,52.501254,13.388796,qrb@yahoo.biz
Sasha's Humbug Magenta Alehouse,52.46673,13.353579,shma@gmail.com
Mihailo's British Deli,52.518322,13.430251,mbd@yahoo.biz
Qurtaysh's Delicious Spaeti,52.446476,13.448447,qds@gmail.com
Michel's Cantankerous Shithouse,52.477179,13.323635,mcs@gmail.com
Zainab's Unbelievable Green Whorehouse,52.60079,13.449238,zugw@mail.de
Maya's Ridiculous Orange Shithouse,52.524567,13.470908,mros@gmail.com
Guntur's Stinky Whorehouse,52.558405,13.460929,gsw@yahoo.biz
Michel's Sweaty Yellow Alehouse,52.498742,13.381614,msya@mail.de
Alina's Delicious Red Kiosk,52.56012,13.356138,adrk@gmx.de
Hector's Cantankerous Alehouse,52.613605,13.312433,hca@gmail.com
Alina's Pathetic Whorehouse,52.54619,13.457839,apw@gmx.de
Ksenia's Unforgivable Bar,52.447462,13.432898,kub@gmail.com
Gilad's Nasty Purple Meatshop,52.610673,13.334912,gnpm@gmx.de
Maya's Addictive Meatshop,52.4728,13.410316,mam@mail.de
Cyrus's Delicious Magenta Meatshop,52.545256,13.490403,cdmm@gmail.com
Ramesh's Slutty Green Brewery,52.454602,13.49795,rsgb@yahoo.biz
Cyrus's Sweaty Meatshop,52.484159,13.372955,csm@gmx.de
Leandra's Cantankerous Magenta Shithouse,52.564889,13.383055,lcms@gmx.de
Ksenia's Unbelievable Orange Shithouse,52.569184,13.316334,kuos@mail.de
Sasha's Cantankerous Yellow Spaeti,52.518736,13.452931,scys@mail.de
Hector's Abusive Green Whorehouse,52.484025,13.460192,hagw@mail.de
Gilad's Stinky Alehouse,52.461226,13.408335,gsa@outlook.com
Zainab's Humbug Deli,52.516014,13.330585,zhd@outlook.com
Alex's Ridiculous Meatshop,52.512545,13.322915,arm@gmail.com
Horatio's British Deli,52.442674,13.390014,hbd@yahoo.biz
Guntur's Ridiculous Yellow Spaeti,52.529622,13.441836,grys@mail.de
Ksenia's Intolerable Whorehouse,52.571887,13.473152,kiw@yahoo.biz
Alex's Cantankerous Shithouse,52.575573,13.426806,acs@yahoo.biz
Hector's Hilarious Orange Deli,52.504957,13.368852,hhod@yahoo.biz
Alina's Humbug Deli,52.43228,13.483024,ahd@yahoo.biz
Sasha's Toxic Blue Bar,52.605952,13.447369,stbb@gmx.de
Kat's Shitty Yellow Alehouse,52.555416,13.390925,ksya@outlook.com
Horatio's British Kebabshop,52.455183,13.443752,hbk@gmx.de
Leonor's Shitty Yellow Meatshop,52.431861,13.417141,lsym@gmx.de
Hector's Disgusting Green Kebabshop,52.425382,13.487961,hdgk@gmx.de
Leonor's Abusive Green Brewery,52.496418,13.498435,lagb@outlook.com
Rabi's Addictive Meatshop,52.58814,13.369114,ram@gmx.de
Migel's Pathetic Green Kiosk,52.605737,13.393742,mpgk@gmx.de
Zainab's Disgusting Purple Deli,52.510373,13.439762,zdpd@mail.de
Kat's Delicious Spaeti,52.605438,13.363876,kds@mail.de
Hector's Delicious Deli,52.557908,13.406212,hdd@yahoo.biz
Leonor's Crappy Deli,52.447542,13.411263,lcd@gmail.com
Baba's Cantankerous Deli,52.528609,13.46685,bcd@mail.de
Maqbool's Delicious Green Deli,52.540798,13.445433,mdgd@yahoo.biz
Guntur's Slutty Green Spaeti,52.474136,13.323392,gsgs@mail.de
Latrine's Intolerable Meatshop,52.420921,13.314506,lim@outlook.com
Gilad's Nasty Orange Spaeti,52.503394,13.487721,gnos@yahoo.biz
Guntur's Basic Magenta Shithouse,52.501086,13.466486,gbms@mail.de
Cyrus's Abusive Shithouse,52.525561,13.405051,cas@outlook.com
Leonor's Sweaty Orange Brewery,52.578515,13.451256,lsob@gmail.com
Migel's Humbug Kiosk,52.548468,13.476084,mhk@mail.de
Migel's British Deli,52.557305,13.346841,mbd@yahoo.biz
Qurtaysh's Unforgivable Orange Shithouse,52.477205,13.336181,quos@mail.de
Hector's Hilarious Red Kebabshop,52.596427,13.350119,hhrk@gmail.com
Ramesh's Cowardly Yellow Whorehouse,52.602897,13.38831,rcyw@mail.de
Horatio's Unbelievable Red Bar,52.616218,13.428981,hurb@yahoo.biz
Hector's Intolerable Kiosk,52.585779,13.33951,hik@gmx.de
Qurtaysh's Sweaty Kiosk,52.579221,13.50126,qsk@gmail.com
Leandra's Humbug Orange Bar,52.607667,13.400168,lhob@gmx.de
Alina's British Brewery,52.595386,13.46072,abb@mail.de
Alex's Basic Spaeti,52.420807,13.315688,abs@mail.de
Baba's Slutty Meatshop,52.434189,13.345857,bsm@mail.de
Guntur's Addictive Yellow Whorehouse,52.566148,13.41195,gayw@gmail.com
Hector's Shitty Kebabshop,52.563169,13.499257,hsk@outlook.com
Ksenia's Basic Orange Bar,52.565394,13.446299,kbob@outlook.com
Leandra's Impressive Kebabshop,52.449791,13.314763,lik@gmail.com
Alina's Sweaty Green Whorehouse,52.49059,13.491038,asgw@gmx.de
Alex's Rotten Alehouse,52.604156,13.401139,ara@yahoo.biz
Leonor's Unbelievable Meatshop,52.473582,13.344214,lum@yahoo.biz
Guntur's Abusive Brewery,52.459821,13.416289,gab@gmail.com
Gilad's Basic Deli,52.56772,13.401181,gbd@gmail.com
